Pos|Titolo|Publisher|Anno|TitoloNorm|Link
1418|Realms of the Unknown|The Walnut Group|1991|realms of the unknown|http://index.rpg.net/display-entry.phtml?mainid=8932
1431|Monsters & Slayers|Atlantis Enterprises|1991|monsters & slayers|http://index.rpg.net/display-entry.phtml?mainid=8205
1508|Badlands|Cutting Edge Games|1991|badlands|http://index.rpg.net/display-entry.phtml?mainid=9741
1620|TAQ|Peter's Press|1991|taq|http://index.rpg.net/display-entry.phtml?mainid=8755
1979|Interstellar Elite Combat|Game Masters Associated|1991|interstellar elite combat|http://index.rpg.net/display-entry.phtml?mainid=1038
2080|Of Gods and Men|Non Sequitur Productions|1991|of gods and men|http://index.rpg.net/display-entry.phtml?mainid=9141
2106|Aliens Adventure Game|Leading Edge Games|1991|aliens|http://index.rpg.net/display-entry.phtml?mainid=3783
2123|Hahlmabrea|Sutton Hoo Games|1991|hahlmabrea|http://index.rpg.net/display-entry.phtml?mainid=8738
179|Shadowrun|FASA Corporation|1992|shadowrun|http://index.rpg.net/display-entry.phtml?mainid=119
453|Dream Park|R. Talsorian Games|1992|dream park|http://index.rpg.net/display-entry.phtml?mainid=1466
483|The Primal Order|Wizards of the Coast|1992|primal order|http://index.rpg.net/display-entry.phtml?mainid=2447
592|Gatecrasher|Hot Tub Dragon|1992|gatecrasher|http://index.rpg.net/display-entry.phtml?mainid=6152
740|Era Ten|Better Games|1992|era ten|http://index.rpg.net/display-entry.phtml?mainid=9695
832|The Enchiridion|Storm Publications|1992|enchiridion|http://index.rpg.net/display-entry.phtml?mainid=9031
834|Proteus|Bruce Gomes Industries|1992|proteus|http://index.rpg.net/display-entry.phtml?mainid=5719
881|Lost Souls|Marquee Press|1992|lost souls|http://index.rpg.net/display-entry.phtml?mainid=3639
992|Ogre Miniatures|Steve Jackson Games|1992|ogre miniatures|http://index.rpg.net/display-entry.phtml?mainid=9558
1107|Shades of Fantasy|IDD|1992|shades of fantasy|http://index.rpg.net/display-entry.phtml?mainid=9775
1194|Ralph Bakshi's Wizards|Whit Publications|1992|ralph bakshi's wizards|http://index.rpg.net/display-entry.phtml?mainid=7368
1308|Fuzzy Heroes|Inner City Games|1992|fuzzy heroes|http://index.rpg.net/display-entry.phtml?mainid=4473
1408|Advanced Phantasm Adventures|T.C. International|1992|advanced phantasm adventures|http://index.rpg.net/display-entry.phtml?mainid=8203
1416|DUEL|Nightshift Games|1992|duel|http://index.rpg.net/display-entry.phtml?mainid=6147
1439|Incursion|TriTac Systems|1992|incursion|http://index.rpg.net/display-entry.phtml?mainid=9338
1457|ACE Agents!|Stellar Games|1992|ace agents|http://index.rpg.net/display-entry.phtml?mainid=9737
1545|Pixie|New World|1992|pixie|http://index.rpg.net/display-entry.phtml?mainid=8159
1954|Mugshots 2: Taking Care of Business|Flying Buffalo|1992|mugshots|http://index.rpg.net/display-entry.phtml?mainid=19512
1992|The Adventures of Luther Arkwright: The Roleplaying Game|23rd Parallel Games|1992|luther arkwright|http://index.rpg.net/display-entry.phtml?mainid=12187
2100|Dangerous Journeys: Mythus|GDW|1992|mythus|http://index.rpg.net/display-entry.phtml?mainid=584
67|Elric!|Chaosium|1993|elric|http://index.rpg.net/display-entry.phtml?mainid=1013
260|Sla Industries|Nightfall Games|1993|sla industries|http://index.rpg.net/display-entry.phtml?mainid=1934
296|Buck Rogers Adventure Game|TSR|1993|buck rogers|http://index.rpg.net/display-entry.phtml?mainid=3426
309|Underground|Mayfair Games|1993|underground|http://index.rpg.net/display-entry.phtml?mainid=1647
371|Prime Directive|Task Force Games|1993|prime directive|http://index.rpg.net/display-entry.phtml?mainid=3376
409|Theatrix|Backstage Press|1993|theatrix|http://index.rpg.net/display-entry.phtml?mainid=1893
410|Millennium's End|Chameleon Eclectic Entertainment|1993|millennium's end|http://index.rpg.net/display-entry.phtml?mainid=270
585|Twilight 2000|GDW|1993|twilight 2000|http://index.rpg.net/display-entry.phtml?mainid=6015
602|CyberGeneration|R. Talsorian Games|1993|cybergeneration|http://index.rpg.net/display-entry.phtml?mainid=1702
818|AM2: For Faerie, Queen and Country|TSR|1993|am2: for faerie, queen and country|http://index.rpg.net/display-entry.phtml?mainid=1593
819|AM3: Bughunters|TSR|1993|am3: bughunters|http://index.rpg.net/display-entry.phtml?mainid=1721
823|Pandemonium! Adventures in Tabloid World|M.I.B. Productions|1993|pandemonium|http://index.rpg.net/display-entry.phtml?mainid=1572
828|Star Riders|Ianus Publications|1993|star riders|http://index.rpg.net/display-entry.phtml?mainid=5683
924|Fate of the Norns|Pendelhaven|1993|fate of the norns|http://index.rpg.net/display-entry.phtml?mainid=17474
994|Mutant Chronicles|Target Games|1993|mutant chronicles|http://index.rpg.net/display-entry.phtml?mainid=4131
1133|AM4: Magitech|TSR|1993|am4: magitech|http://index.rpg.net/display-entry.phtml?mainid=1722
1157|Darkurthe Legends|Black Dragon Press|1993|darkurthe legends|http://index.rpg.net/display-entry.phtml?mainid=12165
1164|WWF Basic Adventure Game|Whit Publications|1993|wwf basic adventure game|http://index.rpg.net/display-entry.phtml?mainid=40
1197|AM5: The Galactos Barrier|TSR|1993|am5: the galactos barrier|http://index.rpg.net/display-entry.phtml?mainid=8415
1441|Periphery|Epitaph Studios|1993|periphery|http://index.rpg.net/display-entry.phtml?mainid=9092
1612|The Codex|Storm Publications|1993|the codex|http://index.rpg.net/display-entry.phtml?mainid=9032
1980|SuperBabes: The Femforce Role-Playing Game|Selex|1993|superbabes|http://index.rpg.net/display-entry.phtml?mainid=2174
2006|Shatterzone|West End Games|1993|shatterzone|http://index.rpg.net/display-entry.phtml?mainid=7376
2013|The Lawnmower Man Virtual Reality Role Playing Game|Leading Edge Games|1993|lawnmower man|http://index.rpg.net/display-entry.phtml?mainid=813
2031|Macross II: The Role-Playing Game|Palladium Books|1993|macross|http://index.rpg.net/display-entry.phtml?mainid=1731
2120|Metascape|Gamelords|1993|metascape|http://index.rpg.net/display-entry.phtml?mainid=8025
2127|AM1: Amazing Engine System Guide|TSR|1993|am1: amazing engine system guide|http://index.rpg.net/display-entry.phtml?mainid=1720
2133|Heroes & Heroines|Excel Marketing|1993|heroes & heroines|http://index.rpg.net/display-entry.phtml?mainid=2224
2134|Webs Basic Gaming System|Web Games|1993|webs basic gaming system|http://index.rpg.net/display-entry.phtml?mainid=7624
2143|The World of Synnibarr|Wonderworld Press|1993|world of synnibarr|http://index.rpg.net/display-entry.phtml?mainid=1575
2144|Legacy: War of Ages|Black Gate Publishing|1993|legacy: war of ages|http://index.rpg.net/display-entry.phtml?mainid=1965
55|Castle Falkenstein|R. Talsorian Games|1994|castle falkenstein|http://index.rpg.net/display-entry.phtml?mainid=38
378|Nephilim|Chaosium|1994|nephilim|http://index.rpg.net/display-entry.phtml?mainid=712
451|Nexus the Infinite City|Daedalus Entertainment|1994|nexus|http://index.rpg.net/display-entry.phtml?mainid=2068
486|Street Fighter: The Storytelling Game|White Wolf Publishing|1994|street fighter|http://index.rpg.net/display-entry.phtml?mainid=7429
510|The Whispering Vault|Pariah Press|1994|whispering vault|http://index.rpg.net/display-entry.phtml?mainid=1648
645|Inferno|Death's Edge Games|1994|inferno|http://index.rpg.net/display-entry.phtml?mainid=14695
653|Aria Worlds|Last Unicorn Games|1994|aria worlds|http://index.rpg.net/display-entry.phtml?mainid=2184
833|GateWar|Escape Ventures|1994|gatewar|http://index.rpg.net/display-entry.phtml?mainid=9091
884|Raven Star|Game Designs|1994|raven star|http://index.rpg.net/display-entry.phtml?mainid=9094
916|Shattered Dreams|Apex Publications|1994|shattered dreams|http://index.rpg.net/display-entry.phtml?mainid=8401
942|Khaotic|Marquee Press|1994|khaotic|http://index.rpg.net/display-entry.phtml?mainid=8761
987|AM6: Once and Future King|TSR|1994|am6: once and future king|http://index.rpg.net/display-entry.phtml?mainid=7435
1002|Clerics' Sourcebook|West End Games|1994|clerics' sourcebook|http://index.rpg.net/display-entry.phtml?mainid=5673
1029|Mythus Prime|GDW|1994|mythus prime|http://index.rpg.net/display-entry.phtml?mainid=9526
1038|Kromosome|TSR|1994|kromosome|http://index.rpg.net/display-entry.phtml?mainid=1018
1085|Listen Up, You Primitive Screwheads|R. Talsorian Games|1994|listen up, you primitive screwheads|http://index.rpg.net/display-entry.phtml?mainid=1472
1092|AM7: Metamorphosis Alpha to Omega|TSR|1994|am7: metamorphosis alpha to omega|http://index.rpg.net/display-entry.phtml?mainid=1946
1097|Furry Outlaws|Furry Games|1994|furry outlaws|http://index.rpg.net/display-entry.phtml?mainid=15937
1127|Aria Roleplaying|Last Unicorn Games|1994|aria roleplaying|http://index.rpg.net/display-entry.phtml?mainid=2000
1150|Tales of Gargentihr|Sanctuary Games|1994|tales of gargentihr|http://index.rpg.net/display-entry.phtml?mainid=4883
1177|MasterBook|West End Games|1994|masterbook|http://index.rpg.net/display-entry.phtml?mainid=4914
1213|First Quest|TSR|1994|first quest|http://index.rpg.net/display-entry.phtml?mainid=8222
1249|The Pirates of Dark Water|Mindgames|1994|pirates of dark water|http://index.rpg.net/display-entry.phtml?mainid=4266
1282|Tabloid!|TSR|1994|tabloid|http://index.rpg.net/display-entry.phtml?mainid=1723
1473|Imperial|Target Games|1994|imperial|http://index.rpg.net/display-entry.phtml?mainid=4136
1483|Fantasy Earth|Zody Games|1994|fantasy earth|http://index.rpg.net/display-entry.phtml?mainid=9617
1600|Ultimate Power|Gamelords|1994|ultimate power|http://index.rpg.net/display-entry.phtml?mainid=11265
1624|STOCS|Wasteland Games|1994|stocs|http://index.rpg.net/display-entry.phtml?mainid=9540
1787|TED&D: Troy's Enhanced Dungeons & Death|TCI|1994|ted&d: troy's enhanced dungeons & death|http://index.rpg.net/display-entry.phtml?mainid=14608
2032|Gardásiyal: Deeds of Glory|Theatre of the Mind Enterprises|1994|gardásiyal|http://index.rpg.net/display-entry.phtml?mainid=580
2102|Don't Look Back|Mind Ventures Games|1994|don't look back|http://index.rpg.net/display-entry.phtml?mainid=6161
2119|Immortal: The Invisible War|Precedence Publishing|1994|immortal|http://index.rpg.net/display-entry.phtml?mainid=128
40|Heavy Gear|Dream Pod 9|1995|heavy gear|http://index.rpg.net/display-entry.phtml?mainid=481
151|Everway|Wizards of the Coast|1995|everway|http://index.rpg.net/display-entry.phtml?mainid=1373
159|Mekton Zeta|R. Talsorian Games|1995|mekton zeta|http://index.rpg.net/display-entry.phtml?mainid=3064
241|CORPS|BTRC|1995|corps|http://index.rpg.net/display-entry.phtml?mainid=51
330|Nightbane|Palladium Books|1995|nightbane|http://index.rpg.net/display-entry.phtml?mainid=2897
399|Spell Law|I.C.E.|1995|spell law|http://index.rpg.net/display-entry.phtml?mainid=2558
629|Murphy's World|Peregrine Press|1995|murphy's world|http://index.rpg.net/display-entry.phtml?mainid=2777
1086|Age of Empire|Epitaph Studios|1995|age of empire|http://index.rpg.net/display-entry.phtml?mainid=1513
1191|Throwing Stones Fantasy|Gamesmiths|1995|throwing stones fantasy|http://index.rpg.net/display-entry.phtml?mainid=9599
1208|Frenzy|Venture Press|1995|frenzy|http://index.rpg.net/display-entry.phtml?mainid=8251
1844|Lords of Harkanis|War College Simulations|1995|lords of harkanis|http://index.rpg.net/display-entry.phtml?mainid=14616
1972|Project A-ko The Roleplaying Game|Ianus Publications|1995|project a-ko|http://index.rpg.net/display-entry.phtml?mainid=5684
2099|Crossroads|Xanadu Games|1995|crossroads|http://index.rpg.net/display-entry.phtml?mainid=9563
37|Star Wars: The Roleplaying Game|West End Games|1996|star wars|http://index.rpg.net/display-entry.phtml?mainid=78
49|Deadlands|Pinnacle|1996|deadlands|http://index.rpg.net/display-entry.phtml?mainid=148
51|Wraith: The Oblivion|White Wolf Publishing|1996|wraith|http://index.rpg.net/display-entry.phtml?mainid=59
242|Dragonlance: Fifth Age|TSR|1996|dragonlance|http://index.rpg.net/display-entry.phtml?mainid=2179
480|Hong Kong Action Theatre!|Event Horizon Productions|1996|hong kong action theatre!|http://index.rpg.net/display-entry.phtml?mainid=1564
516|Bubblegum Crisis|R. Talsorian Games|1996|bubblegum crisis|http://index.rpg.net/display-entry.phtml?mainid=2282
642|The Legend of Yore|Visionary Games Design|1996|legend of yore|http://index.rpg.net/display-entry.phtml?mainid=14614
674|Noir: the Film Noir Role-Playing Game|Archon Gaming|1996|noir: the film noir role-playing game|http://index.rpg.net/display-entry.phtml?mainid=10036
718|Asylum|Clockworks|1996|asylum|http://index.rpg.net/display-entry.phtml?mainid=328
891|The D6 System|West End Games|1996|d6 system|http://index.rpg.net/display-entry.phtml?mainid=3445
914|Neverworld|ForEverWorld Books|1996|neverworld|http://index.rpg.net/display-entry.phtml?mainid=6486
1070|Chivalry & Sorcery|Highlander Designs|1996|chivalry & sorcery|http://index.rpg.net/display-entry.phtml?mainid=1571
1108|Epiphany|BTRC|1996|epiphany|http://index.rpg.net/display-entry.phtml?mainid=13963
1163|Blood Dawn|Optimus Design Systems|1996|blood dawn|http://index.rpg.net/display-entry.phtml?mainid=6500
1294|Infinite Domains|Infinite Concepts|1996|infinite domains|http://index.rpg.net/display-entry.phtml?mainid=6487
1623|Battle Cattle|Wingnut Games|1996|battle cattle|http://index.rpg.net/display-entry.phtml?mainid=18820
1656|Dragon Storm Role Playing|Black Dragon Press|1996|dragon storm|http://index.rpg.net/display-entry.phtml?mainid=16024
1709|Stellar Horizons|Valkyrie Games|1996|stellar horizons|http://index.rpg.net/display-entry.phtml?mainid=16567
1994|Fritz Leiber's Lankhmar: The New Adventures of Fafhrd and Gray Mouser|TSR|1996|lankhmar|http://index.rpg.net/display-entry.phtml?mainid=3520
2045|Senzar: Roleplaying For The Next Millenium|Nova Eth Publishing|1996|senzar|http://index.rpg.net/display-entry.phtml?mainid=4625
2132|Marc Miller's Traveller|Imperium Games|1996|marc miller's traveller|http://index.rpg.net/display-entry.phtml?mainid=536
8|Over the Edge|Atlas Games|1997|over the edge|http://index.rpg.net/display-entry.phtml?mainid=107
78|Trinity|White Wolf Publishing|1997|trinity|http://index.rpg.net/display-entry.phtml?mainid=906
174|Usagi Yojimbo Roleplaying Game|Gold Rush Games|1997|usagi yojimbo|http://index.rpg.net/display-entry.phtml?mainid=334
277|Waste World|Manticore Productions|1997|waste world|http://index.rpg.net/display-entry.phtml?mainid=2939
335|In Nomine|Steve Jackson Games|1997|in nomine|http://index.rpg.net/display-entry.phtml?mainid=241
472|The Pocket Warrior|Plaid Rabbit Productions|1997|pocket warrior|http://index.rpg.net/display-entry.phtml?mainid=8584
477|Vampire|White Wolf Publishing|1997|vampire|http://index.rpg.net/display-entry.phtml?mainid=10913
498|Frontier Secrets|White Wolf Publishing|1997|frontier secrets|http://index.rpg.net/display-entry.phtml?mainid=1441
591|Extreme Vengeance|Archangel Entertainment|1997|extreme vengeance|http://index.rpg.net/display-entry.phtml?mainid=4748
600|Zero|Archangel Entertainment|1997|zero|http://index.rpg.net/display-entry.phtml?mainid=340
655|Stuper Powers|Wingnut Games|1997|stuper powers|http://index.rpg.net/display-entry.phtml?mainid=5119
714|The Babylon Project|Chameleon Eclectic Entertainment|1997|babylon project|http://index.rpg.net/display-entry.phtml?mainid=951
913|The 23rd Letter|Crucible Design|1997|23rd letter|http://index.rpg.net/display-entry.phtml?mainid=3733
920|Tinker's Damn|Studio Cranium|1997|tinker's damn|http://index.rpg.net/display-entry.phtml?mainid=13712
995|Spookshow|Clockworks|1997|spookshow|http://index.rpg.net/display-entry.phtml?mainid=314
996|The Power|Nexus Transmedia|1997|the power|http://index.rpg.net/display-entry.phtml?mainid=10579
1010|Fuzion|Labs Group|1997|fuzion|http://index.rpg.net/display-entry.phtml?mainid=5142
1011|Providence: Main Rule Book|XID Creative|1997|providence|http://index.rpg.net/display-entry.phtml?mainid=5194
1027|Werewolf|White Wolf Publishing|1997|werewolf|http://index.rpg.net/display-entry.phtml?mainid=1437
1031|Men in Black|West End Games|1997|men in black|http://index.rpg.net/display-entry.phtml?mainid=4912
1187|Taiga|Burger Games|1997|taiga|http://index.rpg.net/display-entry.phtml?mainid=7289
1401|Soothsayer|Critical Mass Studios|1997|soothsayer|http://index.rpg.net/display-entry.phtml?mainid=1644
1503|Dark Realms|Guild of Blades Publishing|1997|dark realms|http://index.rpg.net/display-entry.phtml?mainid=8310
2092|Paradigm Shift|Crunchy Frog Enterprises|1997|paradigm shift|http://index.rpg.net/display-entry.phtml?mainid=5157
4|Unknown Armies|Atlas Games|1998|unknown armies|http://index.rpg.net/display-entry.phtml?mainid=53
22|Tribe 8|Dream Pod 9|1998|tribe 8|http://index.rpg.net/display-entry.phtml?mainid=909
53|The Extraordinary Adventures of Baron Munchausen|Hogshead Publishing|1998|baron munchausen|http://index.rpg.net/display-entry.phtml?mainid=163
66|Star Trek: The Next Generation|Last Unicorn Games|1998|star trek: the next generation|http://index.rpg.net/display-entry.phtml?mainid=557
84|The Discworld Roleplaying Game|Steve Jackson Games|1998|discworld|http://index.rpg.net/display-entry.phtml?mainid=1656
87|Mage|White Wolf Publishing|1998|mage|http://index.rpg.net/display-entry.phtml?mainid=795
93|The Sailor Moon Role-Playing Game and Resource Book|Guardians of Order|1998|sailor moon|http://index.rpg.net/display-entry.phtml?mainid=1588
202|QAGS|Hex Games|1998|qags|http://index.rpg.net/display-entry.phtml?mainid=2594
213|Marvel SAGA|TSR|1998|marvel saga|http://index.rpg.net/display-entry.phtml?mainid=3693
243|Orbit|60 Games|1998|orbit|http://index.rpg.net/display-entry.phtml?mainid=14572
262|Alternity|TSR|1998|alternity|http://index.rpg.net/display-entry.phtml?mainid=917
312|The Everlasting: Book of the Spirits|Visionary Entertainment Studio|1998|everlasting|http://index.rpg.net/display-entry.phtml?mainid=10552
500|Gemini|Cell Entertainment|1998|gemini|http://index.rpg.net/display-entry.phtml?mainid=2194
534|Run Out the Guns! Adventure Kit|I.C.E.|1998|run out the guns|http://index.rpg.net/display-entry.phtml?mainid=7193
596|Magic Frontiers|Event Horizon Publications|1998|magic frontiers|http://index.rpg.net/display-entry.phtml?mainid=7940
696|Swashbuckler|Jolly Roger Games|1998|swashbuckler|http://index.rpg.net/display-entry.phtml?mainid=9133
764|Blood of Heroes|Pulsar Games|1998|blood of heroes|http://index.rpg.net/display-entry.phtml?mainid=6396
772|SORD: The System of Role Development|Fractal Dimensions|1998|sord|http://index.rpg.net/display-entry.phtml?mainid=13150
1115|Hercules & Xena Roleplaying Game|West End Games|1998|hercules & xena|http://index.rpg.net/display-entry.phtml?mainid=9120
1280|The Future's Edge|TSR|1998|future's edge|http://index.rpg.net/display-entry.phtml?mainid=8452
1391|AIF|NastiDyne|1998|aif|http://index.rpg.net/display-entry.phtml?mainid=5235
1413|Qadardalikoi|Tita's House of Games|1998|qadardalikoi|http://index.rpg.net/display-entry.phtml?mainid=14352
1982|Revelation|Happy Nebula Adventures|1998|revelation|http://index.rpg.net/display-entry.phtml?mainid=11615
2121|Darktown: The Apocalyptic Cycle|Gold Rush Games|1998|darktown|http://index.rpg.net/display-entry.phtml?mainid=2490
2129|Forge: Out of Chaos|Basement Games Unlimited|1998|forge|http://index.rpg.net/display-entry.phtml?mainid=7085
6|Feng Shui: Action Movie Roleplaying|Atlas Games|1999|feng shui|http://index.rpg.net/display-entry.phtml?mainid=143
24|Fading Suns|Holistic Design|1999|fading suns|http://index.rpg.net/display-entry.phtml?mainid=325
44|Puppetland: A Storytelling Game with Strings in a Grim World of Make-believe|Hogshead Publishing|1999|puppetland|http://index.rpg.net/display-entry.phtml?mainid=1553
70|Aberrant|White Wolf Publishing|1999|aberrant|http://index.rpg.net/display-entry.phtml?mainid=360
74|C.J. Carella's Witchcraft|Eden Studios|1999|witchcraft|http://index.rpg.net/display-entry.phtml?mainid=818
144|Sengoku|Gold Rush Games|1999|sengoku|http://index.rpg.net/display-entry.phtml?mainid=321
152|Continuum: Roleplaying in the Yet|Aetherco / Dreamcatcher|1999|continuum|http://index.rpg.net/display-entry.phtml?mainid=343
261|Dragon Fist|Wizards of the Coast|1999|dragon fist|http://index.rpg.net/display-entry.phtml?mainid=4501
268|Systems Failure|Palladium Books|1999|systems failure|http://index.rpg.net/display-entry.phtml?mainid=10785
317|Hunter: The Reckoning|White Wolf Publishing|1999|hunter|http://index.rpg.net/display-entry.phtml?mainid=1159
332|In Nomine Game|Steve Jackson Games|1999|in nomine game|http://index.rpg.net/display-entry.phtml?mainid=2827
338|Demon City Shinjuku Role-Playing and Resource Book|Guardians of Order|1999|demon city|http://index.rpg.net/display-entry.phtml?mainid=1591
401|Michael T. Desing's Army Ants RPG|Teddy Bear Press|1999|army ants|http://index.rpg.net/display-entry.phtml?mainid=13221
423|7th Sea Game Master's Guide|AEG|1999|7th sea|http://index.rpg.net/display-entry.phtml?mainid=280
514|Furry Pirates|Atlas Games|1999|furry pirates|http://index.rpg.net/display-entry.phtml?mainid=2437
577|Lejendary Adventures|Hekaforge Productions|1999|lejendary adventures|http://index.rpg.net/display-entry.phtml?mainid=7237
678|Violence: The Roleplaying Game of Egregious and Repulsive Bloodshed|Hogshead Publishing|1999|violence|http://index.rpg.net/display-entry.phtml?mainid=1536
693|Swords of the Middle Kingdom|Event Horizon Productions|1999|swords of the middle kingdom|http://index.rpg.net/display-entry.phtml?mainid=15180
717|The DragonBall Z Adventure Game|R. Talsorian Games|1999|dragonball|http://index.rpg.net/display-entry.phtml?mainid=6520
729|Agent X|Mind Interactive|1999|agent x|http://index.rpg.net/display-entry.phtml?mainid=7996
747|The Way of War|The CaBil|1999|way of war|http://index.rpg.net/display-entry.phtml?mainid=9797
817|Sovereign Stone Game System|Corsair Publishing|1999|sovereign stone|http://index.rpg.net/display-entry.phtml?mainid=3395
822|Mechwarrior|FASA Corporation|1999|mechwarrior|http://index.rpg.net/display-entry.phtml?mainid=872
849|Brave New World|Pinnacle|1999|brave new world|http://index.rpg.net/display-entry.phtml?mainid=3464
859|DC Universe|West End Games|1999|dc universe|http://index.rpg.net/display-entry.phtml?mainid=6653
1068|Obsidian: The Age of Judgement|Apophis Consortium|1999|obsidian|http://index.rpg.net/display-entry.phtml?mainid=333
1096|Planet of Darkness|TSR|1999|planet of darkness|http://index.rpg.net/display-entry.phtml?mainid=8461
1392|Heroes Forever|Guild of Blades Publishing|1999|heroes forever|http://index.rpg.net/display-entry.phtml?mainid=10470
1583|Apocrypha|Frontiers Design Studio|1999|apocrypha|http://index.rpg.net/display-entry.phtml?mainid=11530
2051|Twilight Imperium: The Role-Playing Game|Fantasy Flight Games|1999|twilight imperium|http://index.rpg.net/display-entry.phtml?mainid=16379
23|Big Eyes, Small Mouth|Guardians of Order|2000|big eyes, small mouth|http://index.rpg.net/display-entry.phtml?mainid=82
54|Blue Planet|Fantasy Flight Games|2000|blue planet|http://index.rpg.net/display-entry.phtml?mainid=358
150|Tenchi Muyo!|Guardians of Order|2000|tenchi muyo|http://index.rpg.net/display-entry.phtml?mainid=5685
155|Pantheon and Other Roleplaying Games|Hogshead Publishing|2000|pantheon|http://index.rpg.net/display-entry.phtml?mainid=1537
178|Og|Wingnut Games|2000|og|http://index.rpg.net/display-entry.phtml?mainid=3984
247|UnderWorld|Synister Creative Systems|2000|underworld|http://index.rpg.net/display-entry.phtml?mainid=339
253|Ghost Dog: The Way of the Samurai|Guardians of Order|2000|ghost dog|http://index.rpg.net/display-entry.phtml?mainid=240
283|Ogre / G.E.V|Steve Jackson Games|2000|ogre|http://index.rpg.net/display-entry.phtml?mainid=9572
284|Ork! The Roleplaying Game|Green Ronin Publishing|2000|ork!|http://index.rpg.net/display-entry.phtml?mainid=3973
345|Dune: Chronicles of the Imperium|Last Unicorn Games|2000|dunem|http://index.rpg.net/display-entry.phtml?mainid=242
400|Battlelords of the Twenty-Third Century|SSDC|2000|battlelords|http://index.rpg.net/display-entry.phtml?mainid=1682
432|World Tree|Padwolf Publishing|2000|world tree|http://index.rpg.net/display-entry.phtml?mainid=5249
449|Hero Wars|Issaries|2000|hero wars|http://index.rpg.net/display-entry.phtml?mainid=8
506|Sketch!|Corsair Publishing|2000|sketch!|http://index.rpg.net/display-entry.phtml?mainid=5120
547|Purgatory|Atomic Hyrax Games|2000|purgatory|http://index.rpg.net/display-entry.phtml?mainid=11619
556|Deluxe Hero Wars|Issaries|2000|deluxe hero wars|http://index.rpg.net/display-entry.phtml?mainid=834
562|Dark Continent: Adventure & Exploration in Darkest Africa|New Breed|2000|dark continent|http://index.rpg.net/display-entry.phtml?mainid=332
573|Santa's Soldiers|Deep7|2000|santa's soldiers|http://index.rpg.net/display-entry.phtml?mainid=13120
640|DreamSide|Talespinner Studios|2000|dreamside|http://index.rpg.net/display-entry.phtml?mainid=11533
700|Spacemaster: Privateers|I.C.E.|2000|spacemaster|http://index.rpg.net/display-entry.phtml?mainid=4446
812|Orkworld|Wicked Press|2000|orkworld|http://index.rpg.net/display-entry.phtml?mainid=188
838|Enchanted Worlds|New Worlds Gaming|2000|enchanted worlds|http://index.rpg.net/display-entry.phtml?mainid=11520
862|The Veggie Patch|Polgarus Games|2000|veggie patch|http://index.rpg.net/display-entry.phtml?mainid=10009
1069|deadEarth|Anarchy inK|2000|deadearth|http://index.rpg.net/display-entry.phtml?mainid=3076
1077|Suzerain: Mortal Realms|Savage Mojo|2000|suzerain|http://index.rpg.net/display-entry.phtml?mainid=4576
1317|Shards of the Stone|Obsidian Studios|2000|shards of the stone|http://index.rpg.net/display-entry.phtml?mainid=2220
1379|Flex: The Wrestling RPG|Goon Games|2000|flex|http://index.rpg.net/display-entry.phtml?mainid=11806
1384|Battleforce Bravo|Deep7|2000|battleforce|http://index.rpg.net/display-entry.phtml?mainid=11534
1489|Lejend Master's Lore|Hekaforge Productions|2000|lejend master's lore|http://index.rpg.net/display-entry.phtml?mainid=9390
1539|War Machine|Happy Nebula Adventures|2000|war machine|http://index.rpg.net/display-entry.phtml?mainid=11616
1567|Kronos|Concept Syndicate|2000|kronos|http://index.rpg.net/display-entry.phtml?mainid=11521
1581|Dawnfire|Committed Comics|2000|dawnfire|http://index.rpg.net/display-entry.phtml?mainid=8797
1652|Rumours|Concept Syndicate|2000|rumours|http://index.rpg.net/display-entry.phtml?mainid=11535
1727|Fantasia|New Dimension Games|2000|fantasia|http://index.rpg.net/display-entry.phtml?mainid=15703
1823|Decartha Prime: Science Fantasy in a Shifting World|Hubris Games|2000|decartha prime|http://index.rpg.net/display-entry.phtml?mainid=15378
1991|Chosen|Clockworks|2000|chosen|http://index.rpg.net/display-entry.phtml?mainid=10558
2090|UNsanctioned: The Dream Corrupted|Nightshift Games|2000|unsanctioned|http://index.rpg.net/display-entry.phtml?mainid=11584
2138|The Foundation: A World in Black and White|Nightshift Games|2000|the foundation|http://index.rpg.net/display-entry.phtml?mainid=2152
27|Adventure!|White Wolf Publishing|2001|adventure!|http://index.rpg.net/display-entry.phtml?mainid=158
30|Kult|Seventh Circle|2001|kult|http://index.rpg.net/display-entry.phtml?mainid=165
52|The Dying Earth Roleplaying Game|Pelgrane Press|2001|tdying earth|http://index.rpg.net/display-entry.phtml?mainid=7
64|Godlike|Hobgoblynn Press|2001|godlike|http://index.rpg.net/display-entry.phtml?mainid=58
107|Corum|Darcsyde Productions|2001|corum|http://index.rpg.net/display-entry.phtml?mainid=1113
154|Sorcerer|Adept Press|2001|sorcerer|http://index.rpg.net/display-entry.phtml?mainid=129
160|Weird War II: Blood on the Rhine|Pinnacle|2001|weird war|http://index.rpg.net/display-entry.phtml?mainid=230
168|Little Fears|Key 20 Publishing|2001|little fears|http://index.rpg.net/display-entry.phtml?mainid=999
177|Earthdawn|Living Room Games|2001|earthdawn|http://index.rpg.net/display-entry.phtml?mainid=2279
181|Arrowflight|Deep7|2001|arrowflight|http://index.rpg.net/display-entry.phtml?mainid=13484
205|Agone|Multisim Publishing|2001|agone|http://index.rpg.net/display-entry.phtml?mainid=383
