"";"Rank";"Country";"Documents";"Citable.documents";"Citations";"Self-citations";"Citations.per.document";"H.index";"year"
"458";8;"Italy";479;477;13571;6761;28,33;133;"2000"
"459";9;"Canada";461;461;13455;3349;29,19;154;"2000"
"460";10;"Australia";310;309;13133;3010;42,36;157;"2000"
"461";11;"Netherlands";206;206;7811;1205;37,92;121;"2000"
"462";12;"Switzerland";185;184;10193;1706;55,1;137;"2000"
"463";13;"Norway";147;147;3649;772;24,82;102;"2000"
"464";14;"Spain";142;142;5199;1945;36,61;99;"2000"
"465";15;"Sweden";109;109;3646;535;33,45;94;"2000"
"466";16;"New Zealand";109;109;3642;1158;33,41;89;"2000"
"467";17;"India";108;106;2307;1134;21,36;80;"2000"
"468";18;"Brazil";101;100;1313;556;13;84;"2000"
"469";19;"Mexico";96;95;1738;839;18,1;64;"2000"
"470";20;"Finland";78;78;2483;638;31,83;74;"2000"
"471";21;"Czech Republic";70;70;1177;557;16,81;55;"2000"
"472";22;"Greece";70;70;3405;1049;48,64;74;"2000"
"473";23;"Denmark";70;70;3007;378;42,96;92;"2000"
"474";24;"Austria";60;59;1471;217;24,52;81;"2000"
"475";25;"South Africa";55;54;1882;514;34,22;82;"2000"
"476";26;"Taiwan";51;51;1723;629;33,78;82;"2000"
"477";27;"Hungary";50;50;473;149;9,46;52;"2000"
"478";28;"Belgium";50;50;1839;307;36,78;88;"2000"
"479";29;"Israel";49;49;1459;280;29,78;77;"2000"
"480";30;"Poland";45;42;892;257;19,82;55;"2000"
"481";31;"Turkey";42;42;2141;997;50,98;70;"2000"
"482";32;"Indonesia";37;36;1664;430;44,97;50;"2000"
"483";33;"Argentina";37;37;1053;350;28,46;57;"2000"
"484";34;"Nigeria";29;29;310;48;10,69;19;"2000"
"485";35;"Egypt";27;27;1326;84;49,11;32;"2000"
"486";36;"Slovakia";26;26;421;78;16,19;38;"2000"
"487";37;"South Korea";25;25;440;121;17,6;64;"2000"
"488";38;"Chile";21;21;766;233;36,48;59;"2000"
"489";39;"Puerto Rico";20;20;457;60;22,85;33;"2000"
"490";40;"Ireland";17;17;430;59;25,29;54;"2000"
"491";41;"Portugal";16;16;280;71;17,5;55;"2000"
"492";42;"Saudi Arabia";13;13;365;55;28,08;31;"2000"
"493";43;"Venezuela";12;12;48;14;4;23;"2000"
"494";44;"Iceland";12;12;439;112;36,58;56;"2000"
"495";45;"Ukraine";11;11;300;28;27,27;39;"2000"
"496";46;"Iran";11;11;312;83;28,36;50;"2000"
"497";47;"Estonia";10;10;203;73;20,3;29;"2000"
"498";48;"Hong Kong";10;10;374;71;37,4;54;"2000"
"499";49;"Zimbabwe";9;9;100;18;11,11;25;"2000"
"500";50;"New Caledonia";9;9;205;21;22,78;31;"2000"
"501";51;"Morocco";8;8;390;94;48,75;33;"2000"
"502";52;"Croatia";7;7;86;30;12,29;28;"2000"
"503";53;"Bulgaria";7;7;1177;46;168,14;36;"2000"
"504";54;"Costa Rica";7;7;237;34;33,86;31;"2000"
"505";55;"Colombia";6;6;292;124;48,67;28;"2000"
"506";56;"Georgia";6;6;1103;30;183,83;17;"2000"
"507";57;"Slovenia";6;6;520;106;86,67;25;"2000"
"508";58;"Kuwait";5;5;37;5;7,4;8;"2000"
"509";59;"Romania";5;5;99;27;19,8;32;"2000"
"510";60;"Cuba";5;5;51;2;10,2;16;"2000"
"511";61;"Thailand";5;5;295;24;59;26;"2000"
"512";62;"Peru";4;4;56;0;14;36;"2000"
"513";63;"Ecuador";4;4;113;6;28,25;32;"2000"
"514";64;"Cameroon";4;4;217;108;54,25;16;"2000"
"515";65;"Viet Nam";4;4;103;27;25,75;23;"2000"
"516";66;"Kazakhstan";4;4;109;14;27,25;14;"2000"
"517";67;"Tajikistan";4;4;31;0;7,75;13;"2000"
"518";68;"Pakistan";4;4;45;19;11,25;23;"2000"
"519";69;"Belarus";4;4;19;2;4,75;19;"2000"
"520";70;"Azerbaijan";3;3;8;6;2,67;17;"2000"
"521";71;"Papua New Guinea";3;3;24;3;8;15;"2000"
"522";72;"Oman";3;3;2;0;0,67;22;"2000"
"523";73;"Philippines";3;3;44;21;14,67;24;"2000"
"524";74;"French Polynesia";3;3;73;6;24,33;18;"2000"
"525";75;"Mongolia";3;3;290;4;96,67;24;"2000"
"526";76;"Malaysia";3;3;152;9;50,67;26;"2000"
"527";77;"Brunei Darussalam";2;2;32;8;16;12;"2000"
"528";78;"Singapore";2;2;96;7;48;26;"2000"
"529";79;"Madagascar";2;2;9;1;4,5;14;"2000"
"530";80;"Nicaragua";2;2;129;14;64,5;16;"2000"
"531";81;"Kyrgyzstan";2;2;0;0;0;20;"2000"
"532";82;"Syrian Arab Republic";2;2;27;3;13,5;18;"2000"
"533";83;"Albania";2;2;163;42;81,5;12;"2000"
"534";84;"United Arab Emirates";2;2;1;0;0,5;18;"2000"
"535";85;"Ethiopia";2;2;32;12;16;31;"2000"
"536";86;"Nepal";2;2;62;6;31;25;"2000"
"537";87;"Kenya";2;2;15;4;7,5;19;"2000"
"538";88;"Uganda";2;2;32;8;16;12;"2000"
"539";89;"Haïti";1;1;28;6;28;7;"2000"
"540";90;"Burkina Faso";1;1;18;0;18;6;"2000"
"541";91;"Reunion";1;1;17;0;17;7;"2000"
"542";92;"Congo";1;1;32;0;32;16;"2000"
"543";93;"Jordan";1;1;16;0;16;22;"2000"
"544";94;"Côte d’Ivoire";1;1;26;3;26;11;"2000"
"545";95;"Guyana";1;1;28;2;28;4;"2000"
"546";96;"Libya";1;1;1;1;1;7;"2000"
"547";97;"Suriname";1;1;5;0;5;4;"2000"
"548";98;"Djibouti";1;1;0;0;0;3;"2000"
"549";99;"Vanuatu ";1;1;3;0;3;8;"2000"
"550";100;"Trinidad and Tobago";1;1;6;3;6;20;"2000"
"551";101;"Uruguay";1;1;180;36;180;11;"2000"
"552";102;"Solomon Islands";1;1;3;1;3;8;"2000"
"553";103;"Ghana";1;1;24;1;24;16;"2000"
"554";104;"Bolivia";1;1;19;0;19;19;"2000"
"555";105;"Jamaica";1;1;0;0;0;12;"2000"
"556";106;"Tonga";1;1;3;0;3;1;"2000"
"557";107;"Bermuda";1;1;22;0;22;21;"2000"
"558";108;"Fiji";1;1;3;1;3;10;"2000"
"559";109;"Armenia";1;1;1038;4;1038;12;"2000"
"560";110;"Luxembourg";1;1;37;5;37;25;"2000"
"561";111;"Botswana";1;1;33;1;33;22;"2000"
"562";112;"Yemen";1;1;64;3;64;16;"2000"
"563";113;"Algeria";1;1;17;6;17;26;"2000"
"564";114;"Angola";1;1;16;0;16;8;"2000"
"565";1;"United States";3561;3546;137143;75686;38,51;306;"2001"
"566";2;"United Kingdom";733;728;24166;6644;32,97;183;"2001"
"567";3;"France";717;716;31051;8890;43,31;188;"2001"
"568";4;"Germany";703;700;28007;7855;39,84;176;"2001"
"569";5;"China";607;605;8764;5741;14,44;146;"2001"
"570";6;"Japan";575;572;18374;6281;31,95;144;"2001"
"571";7;"Russian Federation";484;483;6414;1814;13,25;103;"2001"
"572";8;"Italy";436;433;13512;6752;30,99;133;"2001"
"573";9;"Canada";418;418;15376;3486;36,78;154;"2001"
"574";10;"Australia";304;301;13592;3437;44,71;157;"2001"
"575";11;"Netherlands";228;227;7406;1332;32,48;121;"2001"
"576";12;"Switzerland";179;179;9593;1478;53,59;137;"2001"
"577";13;"Norway";148;148;4607;1040;31,13;102;"2001"
"578";14;"Sweden";135;133;4407;981;32,64;94;"2001"
"579";15;"Spain";124;123;3686;1161;29,73;99;"2001"
"580";16;"India";119;118;3655;1815;30,71;80;"2001"
"581";17;"Taiwan";117;117;4104;1593;35,08;82;"2001"
"582";18;"New Zealand";106;105;3232;1440;30,49;89;"2001"
"583";19;"Brazil";105;105;2970;666;28,29;84;"2001"
"584";20;"Denmark";97;97;2992;446;30,85;92;"2001"
"585";21;"Mexico";92;92;1941;482;21,1;64;"2001"
"586";22;"Finland";83;83;2141;646;25,8;74;"2001"
"587";23;"Austria";81;81;2922;493;36,07;81;"2001"
"588";24;"Greece";78;78;2283;677;29,27;74;"2001"
"589";25;"Czech Republic";67;66;1206;432;18;55;"2001"
"590";26;"Israel";55;55;3540;366;64,36;77;"2001"
"591";27;"Belgium";55;55;1759;382;31,98;88;"2001"
"592";28;"Poland";51;48;520;194;10,2;55;"2001"
"593";29;"Hungary";49;49;642;236;13,1;52;"2001"
"594";30;"Turkey";49;49;2104;1434;42,94;70;"2001"
"595";31;"South Korea";42;42;1942;591;46,24;64;"2001"
"596";32;"Argentina";36;36;1073;394;29,81;57;"2001"
"597";33;"South Africa";36;36;1828;427;50,78;82;"2001"
"598";34;"Chile";35;34;1567;538;44,77;59;"2001"
"599";35;"Slovakia";34;34;286;87;8,41;38;"2001"
"600";36;"Ukraine";31;31;420;62;13,55;39;"2001"
"601";37;"Nigeria";28;28;105;52;3,75;19;"2001"
"602";38;"Saudi Arabia";19;19;91;17;4,79;31;"2001"
"603";39;"Portugal";18;18;288;112;16;55;"2001"
"604";40;"Egypt";17;17;268;133;15,76;32;"2001"
"605";41;"Hong Kong";17;17;648;84;38,12;54;"2001"
"606";42;"Croatia";15;15;302;102;20,13;28;"2001"
"607";43;"Romania";14;14;245;71;17,5;32;"2001"
"608";44;"Indonesia";14;14;803;54;57,36;50;"2001"
"609";45;"Bulgaria";13;13;277;54;21,31;36;"2001"
"610";46;"Iceland";12;12;579;158;48,25;56;"2001"
"611";47;"Venezuela";12;12;183;75;15,25;23;"2001"
"612";48;"Ireland";11;11;385;18;35;54;"2001"
"613";49;"Puerto Rico";11;11;250;26;22,73;33;"2001"
"614";50;"Iran";10;10;158;73;15,8;50;"2001"
"615";51;"Algeria";9;9;80;37;8,89;26;"2001"
"616";52;"New Caledonia";9;9;340;60;37,78;31;"2001"
"617";53;"Slovenia";7;6;126;50;18;25;"2001"
"618";54;"United Arab Emirates";7;7;193;5;27,57;18;"2001"
"619";55;"Estonia";6;6;126;27;21;29;"2001"
"620";56;"Peru";6;6;120;18;20;36;"2001"
"621";57;"Georgia";6;6;164;10;27,33;17;"2001"
"622";58;"Zimbabwe";6;6;211;6;35,17;25;"2001"
"623";59;"Kenya";5;5;200;16;40;19;"2001"
"624";60;"Nepal";5;5;529;55;105,8;25;"2001"
"625";61;"Jordan";5;5;68;18;13,6;22;"2001"
"626";62;"Kazakhstan";5;5;129;3;25,8;14;"2001"
"627";63;"Colombia";5;5;45;16;9;28;"2001"
"628";64;"Lithuania";4;4;161;47;40,25;15;"2001"
"629";65;"Albania";4;4;46;18;11,5;12;"2001"
"630";66;"Ecuador";4;4;192;49;48;32;"2001"
"631";67;"Philippines";4;4;128;41;32;24;"2001"
"632";68;"Belarus";4;4;124;22;31;19;"2001"
"633";69;"Bolivia";4;4;68;4;17;19;"2001"
"634";70;"Viet Nam";4;4;424;57;106;23;"2001"
"635";71;"Azerbaijan";3;3;35;0;11,67;17;"2001"
"636";72;"Tajikistan";3;3;127;5;42,33;13;"2001"
"637";73;"Singapore";3;3;79;8;26,33;26;"2001"
"638";74;"Malta";3;3;799;18;266,33;13;"2001"
"639";75;"Luxembourg";3;3;194;29;64,67;25;"2001"
"640";76;"Kuwait";3;3;4;4;1,33;8;"2001"
"641";77;"Costa Rica";3;3;65;28;21,67;31;"2001"
"642";78;"French Polynesia";3;3;91;2;30,33;18;"2001"
"643";79;"Cuba";3;3;15;3;5;16;"2001"
"644";80;"Fiji";2;2;34;1;17;10;"2001"
"645";81;"Côte d’Ivoire";2;2;174;1;87;11;"2001"
"646";82;"Madagascar";2;2;162;34;81;14;"2001"
"647";83;"Bermuda";2;2;54;4;27;21;"2001"
"648";84;"Armenia";2;2;61;23;30,5;12;"2001"
"649";85;"Thailand";2;2;68;31;34;26;"2001"
"650";86;"Pakistan";2;2;146;10;73;23;"2001"
"651";87;"Nicaragua";2;2;58;6;29;16;"2001"
"652";88;"Kyrgyzstan";2;2;127;17;63,5;20;"2001"
"653";89;"Mongolia";2;2;171;28;85,5;24;"2001"
"654";90;"Uzbekistan";2;2;127;0;63,5;9;"2001"
"655";91;"Trinidad and Tobago";1;1;67;1;67;20;"2001"
"656";92;"Libya";1;1;5;0;5;7;"2001"
"657";93;"Ethiopia";1;1;1;0;1;31;"2001"
"658";94;"Malaysia";1;1;68;1;68;26;"2001"
"659";95;"Burkina Faso";1;1;126;0;126;6;"2001"
"660";96;"Montserrat";1;1;29;2;29;19;"2001"
"661";97;"Senegal";1;1;13;0;13;15;"2001"
"662";98;"Oman";1;1;27;0;27;22;"2001"
"663";99;"Ghana";1;1;13;4;13;16;"2001"
"664";100;"Lebanon";1;1;14;6;14;14;"2001"
"665";101;"Mozambique";1;1;7;0;7;10;"2001"
"666";102;"Tunisia";1;1;12;0;12;14;"2001"
"667";103;"Panama";1;1;0;0;0;14;"2001"
"668";104;"Zambia ";1;1;127;2;127;13;"2001"
"669";105;"Morocco";1;1;19;12;19;33;"2001"
"670";106;"Malawi";1;1;0;0;0;14;"2001"
"671";107;"Mauritius";1;1;65;0;65;4;"2001"
"672";108;"Bahamas";1;1;7;0;7;3;"2001"
"673";109;"Botswana";1;1;6;0;6;22;"2001"
"674";110;"Yemen";1;1;38;3;38;16;"2001"
"675";111;"Guadeloupe";1;1;128;3;128;13;"2001"
"676";112;"Vanuatu ";1;1;6;1;6;8;"2001"
"677";1;"United States";3893;3873;120512;65233;30,96;306;"2002"
"678";2;"Germany";937;935;30360;9688;32,4;176;"2002"
"679";3;"United Kingdom";881;877;26805;7184;30,43;183;"2002"
"680";4;"France";790;788;27184;7530;34,41;188;"2002"
"681";5;"Japan";730;726;16424;5707;22,5;144;"2002"
"682";6;"China";645;644;9171;6783;14,22;146;"2002"
"683";7;"Canada";549;549;14429;3561;26,28;154;"2002"
"684";8;"Russian Federation";523;520;7012;2107;13,41;103;"2002"
"685";9;"Italy";504;499;12839;5658;25,47;133;"2002"
"686";10;"Australia";335;331;12493;3086;37,29;157;"2002"
"687";11;"Netherlands";250;250;7360;1377;29,44;121;"2002"
"688";12;"Norway";206;206;5004;1477;24,29;102;"2002"
"689";13;"Switzerland";192;192;8762;1480;45,64;137;"2002"
"690";14;"Spain";174;174;4246;1677;24,4;99;"2002"
"691";15;"Brazil";166;165;3509;1225;21,14;84;"2002"
"692";16;"India";155;155;3338;1835;21,54;80;"2002"
"693";17;"Sweden";138;138;3670;638;26,59;94;"2002"
"694";18;"Mexico";135;135;2401;1067;17,79;64;"2002"
"695";19;"New Zealand";121;121;3636;1073;30,05;89;"2002"
"696";20;"Denmark";115;115;3803;582;33,07;92;"2002"
"697";21;"Poland";108;108;1019;389;9,44;55;"2002"
"698";22;"Finland";106;105;3024;864;28,53;74;"2002"
"699";23;"Czech Republic";105;105;2071;663;19,72;55;"2002"
"700";24;"Belgium";104;104;3066;528;29,48;88;"2002"
"701";25;"Austria";97;97;2167;453;22,34;81;"2002"
"702";26;"South Africa";85;83;2154;552;25,34;82;"2002"
"703";27;"Greece";82;82;1324;519;16,15;74;"2002"
"704";28;"Turkey";73;73;2490;1265;34,11;70;"2002"
"705";29;"Hungary";66;65;544;198;8,24;52;"2002"
"706";30;"Taiwan";64;64;1450;407;22,66;82;"2002"
"707";31;"South Korea";61;61;1134;316;18,59;64;"2002"
"708";32;"Israel";56;56;1788;385;31,93;77;"2002"
"709";33;"Argentina";52;52;835;372;16,06;57;"2002"
"710";34;"Portugal";40;40;847;265;21,18;55;"2002"
"711";35;"Chile";36;36;977;305;27,14;59;"2002"
"712";36;"Slovakia";36;36;512;197;14,22;38;"2002"
"713";37;"Ireland";33;33;967;189;29,3;54;"2002"
"714";38;"Hong Kong";26;26;1549;183;59,58;54;"2002"
"715";39;"Iceland";25;25;1029;138;41,16;56;"2002"
"716";40;"Nigeria";21;21;48;40;2,29;19;"2002"
"717";41;"Bulgaria";19;19;323;76;17;36;"2002"
"718";42;"Ukraine";19;19;377;39;19,84;39;"2002"
"719";43;"Egypt";19;19;271;95;14,26;32;"2002"
"720";44;"Venezuela";17;17;188;66;11,06;23;"2002"
"721";45;"Indonesia";16;16;163;30;10,19;50;"2002"
"722";46;"Saudi Arabia";13;13;48;15;3,69;31;"2002"
"723";47;"Romania";12;12;188;49;15,67;32;"2002"
"724";48;"Estonia";11;11;387;43;35,18;29;"2002"
"725";49;"Zimbabwe";11;11;153;52;13,91;25;"2002"
"726";50;"Peru";10;10;276;46;27,6;36;"2002"
"727";51;"Iran";10;10;155;77;15,5;50;"2002"
"728";52;"Colombia";9;9;119;20;13,22;28;"2002"
"729";53;"Malaysia";8;8;202;20;25,25;26;"2002"
"730";54;"Ecuador";8;8;208;49;26;32;"2002"
"731";55;"Morocco";7;7;196;88;28;33;"2002"
"732";56;"Georgia";7;7;86;35;12,29;17;"2002"
"733";57;"Costa Rica";7;7;100;23;14,29;31;"2002"
"734";58;"Thailand";6;6;75;20;12,5;26;"2002"
"735";59;"Kazakhstan";6;6;38;4;6,33;14;"2002"
"736";60;"Botswana";5;5;106;12;21,2;22;"2002"
"737";61;"Croatia";5;5;97;9;19,4;28;"2002"
"738";62;"Puerto Rico";5;5;381;16;76,2;33;"2002"
"739";63;"Kenya";5;5;1;0;0,2;19;"2002"
"740";64;"Syrian Arab Republic";4;4;100;9;25;18;"2002"
"741";65;"Bangladesh";4;4;20;1;5;11;"2002"
"742";66;"Jamaica";4;4;221;29;55,25;12;"2002"
"743";67;"Philippines";4;4;195;14;48,75;24;"2002"
"744";68;"Cuba";4;4;19;8;4,75;16;"2002"
"745";69;"Belarus";3;3;43;11;14,33;19;"2002"
"746";70;"Jordan";3;3;56;11;18,67;22;"2002"
"747";71;"Mongolia";3;3;59;7;19,67;24;"2002"
"748";72;"French Polynesia";3;3;46;3;15,33;18;"2002"
"749";73;"United Arab Emirates";3;3;36;5;12;18;"2002"
"750";74;"Pakistan";3;3;82;24;27,33;23;"2002"
"751";75;"Algeria";3;3;131;32;43,67;26;"2002"
"752";76;"Bolivia";3;3;123;6;41;19;"2002"
"753";77;"Kyrgyzstan";3;3;199;20;66,33;20;"2002"
"754";78;"Tunisia";3;3;231;155;77;14;"2002"
"755";79;"Tajikistan";3;3;84;0;28;13;"2002"
"756";80;"Barbados";3;3;125;4;41,67;4;"2002"
"757";81;"Oman";3;3;92;2;30,67;22;"2002"
"758";82;"Tanzania";3;3;34;5;11,33;22;"2002"
"759";83;"Armenia";2;2;64;15;32;12;"2002"
"760";84;"Singapore";2;2;7;4;3,5;26;"2002"
"761";85;"Namibia";2;2;19;1;9,5;18;"2002"
"762";86;"Brunei Darussalam";2;2;220;6;110;12;"2002"
"763";87;"Papua New Guinea";2;2;57;2;28,5;15;"2002"
"764";88;"Dominican Republic";2;2;124;2;62;7;"2002"
"765";89;"New Caledonia";2;2;58;6;29;31;"2002"
"766";90;"Saint Vincent and the Grenadines";2;2;124;1;62;2;"2002"
"767";91;"Panama";2;2;94;4;47;14;"2002"
"768";92;"Malawi";2;2;32;10;16;14;"2002"
"769";93;"Bahamas";2;2;124;1;62;3;"2002"
"770";94;"Haïti";2;2;124;1;62;7;"2002"
"771";95;"Ethiopia";2;2;124;33;62;31;"2002"
"772";96;"Belize";2;2;124;2;62;3;"2002"
"773";97;"Saint Kitts and Nevis";2;2;124;1;62;2;"2002"
"774";98;"Albania";2;2;13;5;6,5;12;"2002"
"775";99;"Lithuania";2;2;50;11;25;15;"2002"
"776";100;"Azerbaijan";2;2;28;4;14;17;"2002"
"777";101;"Eritrea";2;2;29;1;14,5;9;"2002"
"778";102;"Trinidad and Tobago";2;2;124;5;62;20;"2002"
"779";103;"Cayman Islands";2;2;124;1;62;2;"2002"
"780";104;"Netherlands Antilles";2;2;124;0;62;2;"2002"
"781";105;"Slovenia";2;2;37;12;18,5;25;"2002"
"782";106;"Guadeloupe";2;2;23;0;11,5;13;"2002"
"783";107;"Viet Nam";1;1;13;0;13;23;"2002"
"784";108;"Virgin Islands (U.S.)";1;1;9;0;9;3;"2002"
"785";109;"El Salvador";1;1;34;4;34;11;"2002"
"786";110;"Libya";1;1;3;0;3;7;"2002"
"787";111;"Uganda";1;1;7;0;7;12;"2002"
"788";112;"Senegal";1;1;0;0;0;15;"2002"
"789";113;"Bermuda";1;1;9;0;9;21;"2002"
"790";114;"Swaziland";1;1;24;0;24;8;"2002"
"791";115;"Zambia ";1;1;6;1;6;13;"2002"
"792";116;"Montserrat";1;1;28;2;28;19;"2002"
"793";117;"Malta";1;1;26;0;26;13;"2002"
"794";118;"Luxembourg";1;1;3;0;3;25;"2002"
"795";119;"Uzbekistan";1;1;33;0;33;9;"2002"
"796";120;"Cyprus";1;1;202;4;202;15;"2002"
"797";121;"Sri Lanka";1;1;10;3;10;15;"2002"
"798";122;"Nicaragua";1;1;0;0;0;16;"2002"
"799";123;"Serbia";1;1;7;1;7;14;"2002"
"800";124;"Fiji";1;1;0;0;0;10;"2002"
"801";1;"United States";4538;4511;152807;82985;33,67;306;"2003"
"802";2;"United Kingdom";943;938;34418;9356;36,5;183;"2003"
"803";3;"Germany";924;920;32185;9829;34,83;176;"2003"
"804";4;"France";869;869;29807;8860;34,3;188;"2003"
"805";5;"Japan";842;840;21677;7357;25,74;144;"2003"
"806";6;"China";838;837;17929;12401;21,39;146;"2003"
"807";7;"Italy";596;593;16462;7090;27,62;133;"2003"
"808";8;"Canada";559;556;17587;3834;31,46;154;"2003"
"809";9;"Russian Federation";472;470;6922;1978;14,67;103;"2003"
"810";10;"Australia";323;321;12169;3164;37,67;157;"2003"
"811";11;"Switzerland";228;227;9368;1633;41,09;137;"2003"
"812";12;"Netherlands";227;227;6623;1210;29,18;121;"2003"
"813";13;"Mexico";211;211;2663;932;12,62;64;"2003"
"814";14;"Norway";194;193;5364;1445;27,65;102;"2003"
"815";15;"Spain";181;180;4802;1985;26,53;99;"2003"
"816";16;"India";154;154;3158;1614;20,51;80;"2003"
"817";17;"New Zealand";139;139;3249;1112;23,37;89;"2003"
"818";18;"Sweden";124;123;4426;832;35,69;94;"2003"
"819";19;"Denmark";120;120;4703;804;39,19;92;"2003"
"820";20;"Brazil";119;119;2868;736;24,1;84;"2003"
"821";21;"Czech Republic";94;94;1754;604;18,66;55;"2003"
"822";22;"Finland";91;91;2586;680;28,42;74;"2003"
"823";23;"Austria";90;90;3684;584;40,93;81;"2003"
"824";24;"Taiwan";88;88;2242;686;25,48;82;"2003"
"825";25;"Poland";86;86;1577;465;18,34;55;"2003"
"826";26;"Belgium";76;76;2398;436;31,55;88;"2003"
"827";27;"South Korea";73;73;2193;659;30,04;64;"2003"
"828";28;"South Africa";67;67;2644;517;39,46;82;"2003"
"829";29;"Greece";61;61;1522;417;24,95;74;"2003"
"830";30;"Turkey";60;58;2553;1329;42,55;70;"2003"
"831";31;"Israel";53;53;1400;404;26,42;77;"2003"
"832";32;"Hungary";48;48;876;193;18,25;52;"2003"
"833";33;"Chile";42;39;1010;320;24,05;59;"2003"
"834";34;"Slovakia";40;39;475;110;11,88;38;"2003"
"835";35;"Argentina";39;39;1151;424;29,51;57;"2003"
"836";36;"Ukraine";33;33;574;153;17,39;39;"2003"
"837";37;"Portugal";31;31;662;239;21,35;55;"2003"
"838";38;"Hong Kong";28;28;703;110;25,11;54;"2003"
"839";39;"Egypt";27;27;580;102;21,48;32;"2003"
"840";40;"Iceland";22;22;868;191;39,45;56;"2003"
"841";41;"Saudi Arabia";18;18;132;29;7,33;31;"2003"
"842";42;"Nigeria";18;18;39;30;2,17;19;"2003"
"843";43;"Iran";17;17;343;196;20,18;50;"2003"
"844";44;"Ireland";17;17;563;69;33,12;54;"2003"
"845";45;"New Caledonia";17;17;305;76;17,94;31;"2003"
"846";46;"Tanzania";16;16;282;60;17,63;22;"2003"
"847";47;"Zimbabwe";16;16;229;31;14,31;25;"2003"
"848";48;"Indonesia";14;14;325;45;23,21;50;"2003"
"849";49;"Philippines";14;14;90;13;6,43;24;"2003"
"850";50;"Bulgaria";13;13;290;76;22,31;36;"2003"
"851";51;"Peru";13;13;347;40;26,69;36;"2003"
"852";52;"Croatia";12;12;165;71;13,75;28;"2003"
"853";53;"Brunei Darussalam";10;10;150;9;15;12;"2003"
"854";54;"Colombia";10;10;82;32;8,2;28;"2003"
"855";55;"Puerto Rico";10;10;206;17;20,6;33;"2003"
"856";56;"Slovenia";10;10;245;54;24,5;25;"2003"
"857";57;"Romania";9;9;36;12;4;32;"2003"
"858";58;"Morocco";9;9;652;84;72,44;33;"2003"
"859";59;"Kenya";8;8;78;10;9,75;19;"2003"
"860";60;"Estonia";8;8;255;52;31,88;29;"2003"
"861";61;"Costa Rica";8;8;273;46;34,13;31;"2003"
"862";62;"Algeria";7;7;150;70;21,43;26;"2003"
"863";63;"Venezuela";6;6;35;7;5,83;23;"2003"
"864";64;"Papua New Guinea";6;6;121;12;20,17;15;"2003"
"865";65;"Georgia";6;6;53;32;8,83;17;"2003"
"866";66;"Thailand";6;6;174;49;29;26;"2003"
"867";67;"Jordan";5;5;240;40;48;22;"2003"
"868";68;"Kazakhstan";5;5;39;9;7,8;14;"2003"
"869";69;"Botswana";5;5;100;32;20;22;"2003"
"870";70;"Belarus";5;5;210;16;42;19;"2003"
"871";71;"Ecuador";5;5;174;29;34,8;32;"2003"
"872";72;"Zambia ";5;5;244;5;48,8;13;"2003"
"873";73;"Mongolia";5;5;276;32;55,2;24;"2003"
"874";74;"Ethiopia";5;5;322;60;64,4;31;"2003"
"875";75;"Cuba";5;5;64;10;12,8;16;"2003"
"876";76;"Pakistan";5;5;53;10;10,6;23;"2003"
"877";77;"Azerbaijan";4;4;170;18;42,5;17;"2003"
"878";78;"Tajikistan";4;4;3;0;0,75;13;"2003"
"879";79;"El Salvador";4;4;11;3;2,75;11;"2003"
"880";80;"Oman";4;4;32;12;8;22;"2003"
"881";81;"Angola";4;4;3;0;0,75;8;"2003"
"882";82;"Cameroon";4;4;23;18;5,75;16;"2003"
"883";83;"Namibia";4;4;170;5;42,5;18;"2003"
"884";84;"French Polynesia";4;4;70;5;17,5;18;"2003"
"885";85;"Montserrat";4;4;318;9;79,5;19;"2003"
"886";86;"Bolivia";3;3;132;11;44;19;"2003"
"887";87;"Côte d’Ivoire";3;3;37;6;12,33;11;"2003"
"888";88;"Singapore";3;3;104;14;34,67;26;"2003"
"889";89;"Syrian Arab Republic";3;3;227;34;75,67;18;"2003"
"890";90;"Panama";3;3;55;5;18,33;14;"2003"
"891";91;"Nepal";3;3;34;6;11,33;25;"2003"
"892";92;"Yemen";2;2;84;14;42;16;"2003"
"893";93;"Cyprus";2;2;42;2;21;15;"2003"
"894";94;"Armenia";2;2;13;5;6,5;12;"2003"
"895";95;"Guatemala";2;2;111;0;55,5;11;"2003"
"896";96;"Luxembourg";2;2;52;9;26;25;"2003"
"897";97;"Tunisia";2;2;14;8;7;14;"2003"
"898";98;"Cape Verde";2;2;24;7;12;7;"2003"
"899";99;"Bermuda";2;2;100;8;50;21;"2003"
"900";100;"Dominican Republic";2;2;36;1;18;7;"2003"
"901";101;"Madagascar";2;2;73;11;36,5;14;"2003"
"902";102;"Malawi";2;2;26;5;13;14;"2003"
"903";103;"Mozambique";2;2;18;2;9;10;"2003"
"904";104;"United Arab Emirates";2;2;4;1;2;18;"2003"
"905";105;"Trinidad and Tobago";2;2;41;1;20,5;20;"2003"
"906";106;"Qatar";2;2;10;0;5;5;"2003"
"907";107;"Kyrgyzstan";2;2;128;30;64;20;"2003"
"908";108;"Burkina Faso";2;2;3;3;1,5;6;"2003"
"909";109;"Malaysia";1;1;10;5;10;26;"2003"
"910";110;"Albania";1;1;0;0;0;12;"2003"
"911";111;"Nicaragua";1;1;0;0;0;16;"2003"
"912";112;"Uzbekistan";1;1;29;7;29;9;"2003"
"913";113;"Swaziland";1;1;19;1;19;8;"2003"
